,date,tweet,nlikes,label,prob_neg,prob_pos,state_code
2255,2020-11-30 19:34:32,shell court claim hampered fossil fuel phaseout httpstcortfvpar,11.0,0,0.95292485,0.047075186,West Midlands
2256,2020-11-30 19:04:38,dissapointing statement shell sure cop duty environment steady reminder total lack responsibility work global goverments climate emergency transitioning away fossil fuels🛢️🛢️🆘🌎🌍🌏🆘,2.0,0,0.9507125,0.04928747,West Midlands
2257,2020-11-30 17:23:19,shell court claim hampered fossil fuel phaseout httpstcojonimhu,0.0,0,0.97655404,0.023446014,West Midlands
2258,2020-11-29 19:37:57,httpstcobyjqyglob“even covering every inch dry land world forest wouldn’t sequester enough keep burning fossil fuel forest definitely part solution whole part change way use energy well”,3.0,2,0.26269278,0.7373072,West Midlands
2259,2020-11-28 09:16:21,sustainability greenhousegases fossilfuels solarpanels netzero lot buzzword still confused amp holding free webinar explain introduction energy sustainability exploring challenge httpstcodrkgkpfvax httpstcozcbqigoamo,6.0,0,0.9943562,0.0056437114,West Midlands
2260,2020-11-27 15:52:26,would care engage discussion amp offer counterpoint nuclear energy potentially remain alternative fossil fuel green policy amp think ruled compliment conventional renewables,0.0,0,0.9312609,0.06873912,West Midlands
2261,2020-11-27 15:21:40,nice levy clearly distortive way favour fossil fuel analysis also include transport fuel duty recognise integration across heat power transport could policy charging ev unintended consequence hp,0.0,0,0.99100304,0.008996891,West Midlands
2262,2020-11-27 14:08:26,faith community investor leading way towards greener future divestment fossil fuel would local government pension industry taken note stop peddling fantasy engagement polluter work,1.0,2,0.17268996,0.8273101,West Midlands
2263,2020-11-27 11:36:08,want true green simply don’t go live like hermit simply die that’s green really entail rebuilding car using part manufactured licence yet still using fossil fuel far socialist concept,1.0,1,0.45517308,0.54482687,West Midlands
2264,2020-11-27 10:30:53,school invested lot money renewable energy ha made money back several time start well informed backing renewableenergy v fossilfuels,1.0,0,0.9832439,0.016756084,West Midlands
2265,2020-11-26 21:08:12,wem town council voted divest pension fossil fuel 🥳 join shropshire telford amp wrekin shrewsbury much wenlock oswestry etc shropshire county pension fund listen httpstcoahbwqhrh,5.0,0,0.9633067,0.036693294,West Midlands
2266,2020-11-26 20:56:05,future indeed electrified still use fossil fuel go away figure engineering co ain’t,0.0,2,0.16105016,0.8389498,West Midlands
2267,2020-11-25 12:52:34,protecting grant trolling could go horribly wrong regard cultural appropriation etc think hed safe wagon wheel amp taxi nd thought probably promoting use fossil fuel,3.0,0,0.92939514,0.07060489,West Midlands
2268,2020-11-25 08:11:50,may top claim partner stain club due bn fossilfuels stake joining amp bottom eplclimateleague despite membership httpstcogkyayvbih,1.0,0,0.6310339,0.3689661,West Midlands
2269,2020-11-25 07:41:18,yeah fuck let stick fossil fuel get caught pant oil becomes economical pointless extract great plan somebody make melt president,0.0,1,0.5268732,0.47312683,West Midlands
2270,2020-11-24 13:15:29,poor chap fossil fuel way even saudi know,1.0,0,0.86494184,0.13505821,West Midlands
2271,2020-11-23 22:35:07,start distinguishing smog burning fossil fuel wood plus dirty engine co may anything smoke like breathingand plant respiring bbc perpetuate ignorance,0.0,0,0.96892035,0.031079682,West Midlands
2272,2020-11-23 11:02:07,happy destroy planet ££ ha provided £bn fossilfuels company since paris agreement shrewsbury fossilbanks moneyrebellion art courtesy httpstcorialbnolqn,28.0,0,0.954632,0.045368068,West Midlands
2273,2020-11-23 11:01:20,proud part national fossilbanks action invested £ billion fossil fuel amp carbon intensive company since paris accord wa signed show sign stopping sharklays moneyrebellion shrewsbury httpstcodtxvrun,29.0,0,0.96701884,0.032981183,West Midlands
2274,2020-11-23 11:00:16,right funded slavery apartheid funding climateemergency € billion funneled polluting fossilfuels alone twentyfour billion dollar help earth burn u httpstcoypzobwrbh,5.0,0,0.98200697,0.017992994,West Midlands
2275,2020-11-23 10:59:50,rebranded worcester committing march take leading role tackling climate change beat ’s funding fossilfuels bn fossilbanks moneyrebellion httpstcoyahidnljl,7.0,0,0.6679287,0.33207127,West Midlands
2276,2020-11-23 10:07:08,much burning fossil fuel mining component doe electric car cost,0.0,0,0.6736862,0.3263138,West Midlands
2277,2020-11-23 09:43:33,grab fossil fuel pussy,0.0,0,0.8974768,0.102523185,West Midlands
2278,2020-11-16 15:20:01,ridiculous assertion youre supposed believe free market economics market abandoning fossil fuel favour green renewable energy would prop system thats going obsolete lowcarbon green revolution future netzero,13.0,0,0.93537784,0.06462212,West Midlands
2279,2020-11-11 23:55:03,heard project earth future emissionless power production system without fossil fuel integrated transportation system estimated reach mach forget hyperloop energy accumulation reticulation transonic hyperway solution,0.0,2,0.029642763,0.9703572,West Midlands
2280,2020-11-06 14:09:28,oh really logically follows time total engine output must divided driving wheel charging battery you’re ‘greener’ ‘timeshifting’ use energy burnt fossil fuel,2.0,0,0.5701973,0.4298027,West Midlands
2281,2020-11-05 20:59:11,that’s ‘yes’ don’t think you’re missing trick deliberately preventing people able plug forcing people use dirty fossil fuel greener alternative wind solar seems quite short sighted,3.0,2,0.07220837,0.92779166,West Midlands
2282,2020-11-05 20:46:19,say “self charging hybrid” really mean “ powered fossil fuel pump carbon dioxide particulate lifetime vehicle can’t use electricity renewable solar wind” don’t,8.0,0,0.95656323,0.04343672,West Midlands
2283,2020-11-04 21:35:05,say “self charging hybrid” really mean “ powered fossil fuel pump carbon dioxide particulate lifetime vehicle can’t use electricity renewable solar wind” don’t,9.0,2,0.18724263,0.8127574,West Midlands
2284,2020-10-13 18:37:58,first year mechanical engineering degree given booklet shell saying fossil fuel sensible fuel,1.0,0,0.62673116,0.37326884,West Midlands
2285,2020-10-09 19:07:49,gotta start somewhere reliant fossil fuel,0.0,0,0.99459815,0.0054018274,West Midlands
2286,2020-10-09 18:45:49,prototype time brutal condition fair i’m fan electric bike car can’t keep burning fossil fuel,0.0,2,0.019527312,0.98047274,West Midlands
2287,2020-09-26 14:45:42,cant claim climate leader whilst pouring billion pound public money fossil fuel it’s time announce uk stopfundingfossils including gas soon possible httpstcoakzdfur,0.0,0,0.70323145,0.29676858,West Midlands
2288,2020-09-16 16:35:58,bank england ha power cut funding dirty fossil fuel good add name amp petition today httpstcodhaiajt,0.0,2,0.07733271,0.9226673,West Midlands
2289,2020-09-13 08:26:17,think it’s “feels” using fossil fuel refinery production facility tanker transport service station store amp sell fill minute good range,1.0,0,0.9546637,0.04533625,West Midlands
2290,2020-09-11 23:14:38,actually close electricity come burning fossil fuel uk,1.0,2,0.0050533772,0.99494666,West Midlands
2291,2020-09-10 21:49:16,don’t know b c important thing get rid net co doe involve burning le fossil fuel planting tree given amount money think focus effort africa gave biggest impact far,0.0,1,0.5350719,0.46492806,West Midlands
2292,2020-08-10 14:16:19,one spare time worth filling bikeisbest electriccars better fossil fuel 🚲✅ 🚗💨❌,0.0,0,0.91465724,0.08534273,West Midlands
2293,2020-07-23 08:58:04,plastic lawn according people disliking snobbish daves right plastic lawn ❌use fossil fuel ❌dont benefit biodiversity ❌dont absorb water ❌end landfill youre stuck time let grow wild rtoday httpstcoybosviaww,9.0,0,0.9710222,0.028977837,West Midlands
2294,2020-07-22 14:27:53,yea well dont trust government moment still pound coronavirus check could tax amazon could go medicare research eliminating fossil fuel cancer curing hunger homelessness,1.0,0,0.9780076,0.021992426,West Midlands
2295,2020-07-12 17:21:05,europe carbon pricing exit fossil fuel httpstcoauzzudtpu via,3.0,0,0.9727225,0.027277488,West Midlands
2296,2020-07-12 17:20:46,europe carbon pricing exit fossil fuel httpstcosldsvezpy via,2.0,0,0.86830044,0.13169956,West Midlands
2297,2020-07-04 23:33:04,stop foolishly dug hole climb start say must cut burning fossil fuel anything else may important need include everything work stopping use fossil fuel essential ha done,0.0,0,0.8157089,0.18429117,West Midlands
2298,2020-06-28 13:05:35,doubt subsidence contributed last winter series flood remember it’s see ground climate change won’t go away unless prepared address root cause can’t change past dependency fossil fuel solution,2.0,0,0.682691,0.317309,West Midlands
2299,2020-06-09 09:07:48,britain go coal free renewables edge fossil fuel httpstcoqartixu,6.0,0,0.94465107,0.055348936,West Midlands
2300,2020-06-06 20:12:33,seeing whole channel evolving transport away fossil fuel good environment fact trump climate change denier wholly appropriate challenge stand,2.0,2,0.007407528,0.9925924,West Midlands
2301,2020-05-25 11:29:21,need explain justin’s fondness fossil fuel homo milk bag need live understand,3.0,2,0.24666385,0.7533362,West Midlands
2302,2020-05-08 22:59:25,biomass energy ridiculous fossilfuels,4.0,0,0.57971156,0.4202884,West Midlands
2303,2020-05-08 10:00:43,environmental perspective excellent using little fossil fuel right,0.0,0,0.6734273,0.32657272,West Midlands
2304,2020-04-30 13:27:31,barclays barclays stop funding fossil fuel sign petition httpstcofoeirbmfa via,0.0,0,0.9354401,0.06455984,West Midlands
2305,2020-04-22 11:06:15,know one main argument human race would perish wa stop using fossil fuel one saying dont need energy fact climate crisis need alternative method energy one man saying otherwise doesnt change,0.0,2,0.07435839,0.92564166,West Midlands
2306,2020-04-09 16:46:45,mystery blogger today talking challenge renewable energy face try transition away fossil fuel httpstcoupitcjoffe¦renewableenergy,0.0,0,0.9417793,0.058220763,West Midlands
2307,2020-03-04 13:22:31,support demanding stop financing fossil fuel immediately wont bank divest sign amp share petition show support 👇 httpstcoxdjqyypt via,0.0,0,0.9628933,0.0371067,West Midlands
2308,2020-03-03 21:34:40,whilst valid point miss main idea can’t afford continue relying fossil fuel it’s sustainable fullstop can’t see wider picture environmentally economically probably don’t deserve anyone explaining,1.0,2,0.005625147,0.9943749,West Midlands
2309,2020-03-03 11:13:06,continues fund fossil fuel company mean even severe climate disaster like recent flooding uk amp australian bushfires tackle climateemergency barclays need stop funding fossil fuel immediately barclaysshutdown,0.0,2,0.3972439,0.6027561,West Midlands
2310,2020-03-03 11:04:03,barclays worst bank europe funding fossil fuel pours billion pound industry every year need stop amp start funding better future planet amp people climateemergency barclaysshutdown,0.0,0,0.8786989,0.12130113,West Midlands
2311,2020-03-02 13:19:19,barclays worst bank europe funding fossil fuel pours billion pound industry every year need stop amp start funding better future planet amp people climateemergency barclaysshutdown,0.0,0,0.9204554,0.07954463,West Midlands
2312,2020-03-02 11:27:31,see point albeit neglected energy source account energy input fossil fuel unsubstantiated given ev relatively new road account around passenger vehicle uk road,0.0,0,0.9852608,0.014739204,West Midlands
2313,2020-02-29 08:40:48,inspiring school child revolt greta used fossil fuel travel around world hypocrisy,0.0,0,0.985935,0.014065028,West Midlands
2314,2020-02-26 12:08:33,that’s true sorry wa colloquial merely pointing stable global herd consuming organic material containing recently fixed carbon vilified way aggressively increasing airborne population burning fossil fuel,4.0,2,0.29901493,0.7009851,West Midlands
2315,2020-02-20 02:32:09,fossil fuel top list existential risk alongside giving rise climatechange theyre linked totalitarianism historically theyve lead conflict could result nuclear war also cause pollution amp downplayed httpstcomgtbcowcqj,2.0,1,0.5242541,0.47574592,West Midlands
2316,2020-02-13 17:14:10,sign send petition urge governor state legislator urge state pension fund divestment fossil fuel cannot continue fund climate change write one httpstcoumadxom,0.0,0,0.9458025,0.05419751,West Midlands
2317,2020-02-11 20:37:20,irony mining diamond processing transporting using fossil fuel discussing carbon footprint,1.0,0,0.9837985,0.016201535,West Midlands
2318,2020-02-10 16:15:38,certainly interesting area much le efficient pure electric wed need create time electricity much also derived currently fossil fuel,0.0,0,0.9262743,0.07372566,West Midlands
2319,2020-02-06 23:09:38,given weird obsession fossil fuel use music manic miner rather apt,0.0,0,0.9194956,0.08050439,West Midlands
2320,2020-02-06 20:39:47,early adopter technology expensive sell small number giving car maker market car year powered non fossil fuel spur innovation amp efficiency without deadline drag foot,0.0,0,0.9680654,0.031934552,West Midlands
2321,2020-02-04 11:27:13,house us fossil fuel increase value 😁,2.0,0,0.7367567,0.2632433,West Midlands
2322,2020-02-03 03:41:00,overrated use fossil fuel make electricity charge run engine diesel day still use amount fossil fuel take charge electric car day,0.0,0,0.67129517,0.32870486,West Midlands
2323,2020-01-31 16:26:54,tory clearly dont give stuff climate change need invest renewables fossil fuel 🤬 greennewdeal httpstcordgxkdjkpv,3.0,0,0.94899136,0.051008675,West Midlands
2324,2020-01-24 14:32:07,pump billion fossil fuel year fined knowingly laundering billion drug cartel terrorist across global south 🤯 must cease partnership corporation fund genocide ecocide httpstcolodppkso,0.0,0,0.99246395,0.0075360164,West Midlands
2325,2020-01-22 15:24:42,earth burn trillion ha invested fossil fuel stop world biggest investor flipped let get rest board sign httpstcouwlojekq,0.0,0,0.9165291,0.083470814,West Midlands
2326,2020-01-22 13:26:01,earth burn trillion ha invested fossil fuel stop world biggest investor flipped let get rest board sign httpstcozqoswkmij,0.0,0,0.8362075,0.16379245,West Midlands
2327,2020-01-16 10:59:50,earth burn trillion ha invested fossil fuel stop world biggest investor flipped let get rest board sign httpstcovfyvmipf,0.0,2,0.43408105,0.565919,West Midlands
2328,2020-01-14 23:27:36,i’d love divest fossil fuel choose ethical banking provider,0.0,2,0.22866997,0.77133,West Midlands
